%time,field.x,field.y,field.theta
1757045395361746613,3.4477594793471726,-0.7222891007033508,-32.28253668992581
1757045395369642881,3.4495742647556864,-0.724047411807728,-32.2789988058111
1757045395382319048,3.4537962150039987,-0.7290130489574204,-32.29130500955495
1757045395391451036,3.455919508777008,-0.7315574835760882,-32.29740789176727
1757045395401299613,3.4580271209285685,-0.7341146908762766,-32.303307026072694
1757045395411002660,3.4601296426205734,-0.73669660538317,-32.3093083297016
1757045395420259897,3.462255919829781,-0.7393399330942643,-32.315106460697734
1757045395430320792,3.4643570556929943,-0.7419832419679123,-32.321006168373785
1757045395441245163,3.4664620167624967,-0.7446636764635106,-32.32690628585319
1757045395450282115,3.4685893468251194,-0.7474057488616874,-32.33280609308175
1757045395461416231,3.4707004278515354,-0.75016027940659,-32.33870580415276
1757045395471535313,3.4728423303234015,-0.752989441326187,-32.344503603861305
1757045395481571810,3.4749768121968154,-0.7558430304111622,-32.35040216581347
1757045395491375533,3.4771041140713614,-0.7587222740913896,-32.35620012225294
1757045395501039485,3.479242023309484,-0.7616512552481792,-32.36189552721459
1757045395511302550,3.481409214717234,-0.764656143641559,-32.36769339327211
1757045395520811082,3.4835767069175203,-0.7676984734721254,-32.3732868392607
1757045395532272228,3.485754598609687,-0.7707918689387235,-32.37898318069107
1757045395541325884,3.487950272961132,-0.7739485704068078,-32.38467882838561
1757045395551423521,3.4901281255150893,-0.7771180075266653,-32.39037498133782
1757045395561205554,3.4923316807769913,-0.7803643127894878,-32.395969147926266
1757045395571540813,3.494534505004091,-0.7836489343274616,-32.40176687164544
1757045395581216225,3.496718302801736,-0.7869463532131985,-32.40736130432337
1757045395591233043,3.4989094324465504,-0.7902953916713027,-32.41305781123091
1757045395601712475,3.5010981329862574,-0.7936826783297183,-32.41875357721197
1757045395611475198,3.5032591965337168,-0.7970693559176043,-32.42414446236898
1757045395621308476,3.5054185661832205,-0.8004939520664941,-32.42953514609855
1757045395630792465,3.507575992928191,-0.8039567011061003,-32.43512929703458
1757045395640441199,3.5097139738062597,-0.8074313981242084,-32.44072334051215
1757045395651532443,3.511832208200178,-0.810917547213399,-32.4463166564449
1757045395661093691,3.5139471598351677,-0.8144425728242137,-32.45191041512207
1757045395671115024,3.5160426516780654,-0.8179798655429429,-32.45730151391706
1757045395681662036,3.518166477294424,-0.821609468217391,-32.462692774861274
1757045395691292669,3.520292314361601,-0.8252878611658473,-32.468180963938586
1757045395703448189,3.5224152620080917,-0.8290082361050047,-32.47367393387556
1757045395711357121,3.524533000753127,-0.8327673013175579,-32.47916667650984
1757045395721677511,3.52664513481226,-0.8365650472519256,-32.484659103589394
1757045395730250012,3.5287364400757117,-0.8403744491590852,-32.49015169298028
1757045395741375209,3.5308218724027434,-0.8442231140267297,-32.495848223445854
1757045395751936427,3.5329219156248017,-0.8481520111155656,-32.501645707143226
1757045395761376720,3.535006549288597,-0.8521070629616702,-32.50754522595229
1757045395771941168,3.5370535561018497,-0.8560469024865013,-32.51344519621218
1757045395781425747,3.5390553530813507,-0.8599559278247461,-32.51903845320567
1757045395791056006,3.541035753362469,-0.8638770759058133,-32.52463311898879
1757045395801261105,3.5429661308619638,-0.8677529142532362,-32.53002384989295
1757045395811073298,3.544868481882601,-0.871624642190396,-32.53531228069193
1757045395821702812,3.5467438847224306,-0.8754930794389901,-32.54070348142449
1757045395831498667,3.5485846834232655,-0.8793428744072901,-32.546093996790816
1757045395841455945,3.550391540705804,-0.8831746231464,-32.551485022606215
1757045395851540922,3.55219084600386,-0.8870442976368279,-32.55687589601611
1757045395861309073,3.553956295121966,-0.8908953255445693,-32.56226695110334
1757045395869631459,3.564591769386164,-0.8971299869644762,-32.554587892313336
1757045395871341104,3.5663789615594332,-0.9010050146718909,-32.55977505388218
1757045395882690147,3.568146249815224,-0.9048897451961205,-32.565166305993294
1757045395890258099,3.56990518937454,-0.9088120900640644,-32.570353604140394
1757045395902029185,3.5716435728679254,-0.9127430853915157,-32.57554034696855
1757045395911198935,3.5733803716286694,-0.9167262232211778,-32.580625641106735
1757045395921360075,3.575078485939119,-0.920675335374128,-32.585812998396854
1757045395932735488,3.5767599394629666,-0.9246422800600282,-32.590891837716356
1757045395941416784,3.578417362000149,-0.9286084718695355,-32.5958755868957
1757045395951707394,3.5800670059842274,-0.9326120180669166,-32.60085963329994
1757045395960979408,3.581690561681826,-0.9366086856727557,-32.6057412707051
1757045395972647989,3.583283242206089,-0.9405849062196451,-32.6106237595875
1757045395981043581,3.584873439972768,-0.9446117782270996,-32.61560710413415
1757045395989944129,3.586436774053038,-0.9486291103906102,-32.620688546653334
1757045396001732192,3.587969772943883,-0.9526285035792531,-32.62577423283547
1757045396010295559,3.589465957287479,-0.9565920499746056,-32.63055511845847
1757045396021163215,3.5909321664991127,-0.9605331131661359,-32.63533565565123
1757045396031314925,3.592374200092053,-0.964466632878626,-32.64021811616581
1757045396041221358,3.5937917789617626,-0.9683926551992537,-32.64479567037958
1757045396051508197,3.595175368268531,-0.9722801608330046,-32.64947400992652
1757045396062269052,3.5965358520468254,-0.9761601128871299,-32.65405154997652
1757045396071266706,3.597868328608499,-0.9800166368185697,-32.65862901556764
1757045396080238981,3.599162505123582,-0.9838186049523597,-32.66320477448216
1757045396091451766,3.600429754590443,-0.9875980724138451,-32.66757861335921
1757045396101572911,3.6016608748930627,-0.9913237730069657,-32.671952568106676
1757045396111672436,3.6028558513960522,-0.9949939004759388,-32.67632477954426
1757045396121790751,3.604049426409024,-0.9987149095117364,-32.68059651991599
1757045396131486476,3.6052130121425785,-1.0023964246600212,-32.68476672698836
1757045396141452058,3.606347055416397,-1.0060372366540402,-32.68883438352275
1757045396151208828,3.607471189220042,-1.0096986218267017,-32.69259804542567
1757045396161150233,3.6085587786995013,-1.0132890868206368,-32.69625966331661
1757045396171284900,3.6096192542001564,-1.0168368088410347,-32.69981779346235
1757045396181320940,3.610672102193123,-1.0204052365070568,-32.70327617168596
1757045396191216087,3.611690657750412,-1.0239019459529928,-32.7066325497367
1757045396201561641,3.612688561918725,-1.027371081541181,-32.709988029258014
1757045396211263498,3.613670883465955,-1.0308296865324258,-32.713446362690945
1757045396220218502,3.6146202330614616,-1.0342167271440184,-32.716599846600765
1757045396231822452,3.615549973131427,-1.037574515890932,-32.719548040238365
1757045396241103520,3.616462075645406,-1.0409067754011372,-32.72249790119307
1757045396252327116,3.6173561937831384,-1.0442115845702593,-32.72524436833627
1757045396261281984,3.6182326649891965,-1.0474868232918557,-32.72798931817481
1757045396271270112,3.61910069324715,-1.0507665363097332,-32.73053255191537
1757045396280908796,3.6199484445396712,-1.0540028908442092,-32.73297391792304
1757045396291482301,3.620779897515364,-1.0572089359261456,-32.73521036912496
1757045396301295408,3.6215969598514475,-1.0603887402558094,-32.737651800903905
1757045396310059816,3.6224062314946797,-1.0635704316587378,-32.74009315729429
1757045396321587437,3.623192062970015,-1.066691845752718,-32.7423299190271
1757045396330737692,3.623971309783536,-1.0698166103695066,-32.744567827095516
1757045396341792518,3.624732342875985,-1.0728976910079315,-32.74670408939791
1757045396351180186,3.625475095892384,-1.0759325988038912,-32.748737128104175
1757045396361257741,3.626208545870741,-1.078956101701595,-32.750466511336434
1757045396370165924,3.6295984470978677,-1.0871444332107303,-32.75771023443012
1757045396371391522,3.6302976007235492,-1.090143778240471,-32.75943952224227
1757045396381674163,3.6309805546399123,-1.0930967147320152,-32.7610660299934
